sedalea,sedaleaname,year,fips,stateabb,multi_comp,subcat,subgroup,gap,gradecenter,tot_asmts,cellcount,mn_asmts,flag_estasmt,cs_mn_avg_ol,cs_mn_avg_ol_se,cs_mn_avg_ol_se_adj,cs_mn_avg_eb,cs_mn_avg_eb_se,cs_mn_avg_eb_se_adj
5503180,De Forest Area School District,2018,55,WI,0,race,wht,0,5.5,2559,12,213.25,0,.2831145666697408,.0204278504211764,.0231829217762223,.2981073286084372,.0170594525904287,.0202202137995481
5503210,De Pere School District,2018,55,WI,0,all,all,0,5.5,3795,12,316.25,0,.5334438607973496,.0166359393774116,.0199224814775018,.5456921654465471,.0152691262591279,.0187344159271524
5503210,De Pere School District,2018,55,WI,0,race,asn,0,5.5,78,12,6.5,0,.7095855296062789,.102486984247906,.1030714932921951,.7530801757095562,.0205068008242547,.0232026076866374
5503210,De Pere School District,2018,55,WI,0,ecd,ecd,0,5.5,874,12,72.83333333333333,0,.0662550676967961,.0339366470211953,.0356629611823484,.0922906358076698,.021316189778699,.0239209546234231
5503210,De Pere School District,2018,55,WI,0,gender,fem,0,5.5,1819,12,151.5833333333333,0,.5552028540779131,.0235165043934613,.0259456502739895,.5840740738584582,.0157593895917326,.0191361041938625
5503210,De Pere School District,2018,55,WI,0,race,hsp,0,5.5,158,10,15.8,0,-.0505813362431001,.0849817637171598,.0856857686767859,.047202419644738,.0154964148777911,.0189201214974687
5503210,De Pere School District,2018,55,WI,0,gender,mal,0,5.5,1974,12,164.5,0,.5153968362031144,.0232317614495579,.0256878478915936,.5082540752928176,.01566524322192,.019058645508437
5503210,De Pere School District,2018,55,WI,0,gender,mfg,1,5.5,3793,12,316.0833333333333,0,-.0398060178747988,.0330566289711587,.0330566289711587,-.0758199985656406,.0052407797198072,.0052407797198072
5503210,De Pere School District,2018,55,WI,0,ecd,nec,0,5.5,2921,12,243.4166666666667,0,.6708596617369984,.0183810170710398,.0214012284184423,.680812659302604,.01736790752762,.020481121436638
5503210,De Pere School District,2018,55,WI,0,ecd,neg,1,5.5,3795,12,316.25,0,.6046045940402023,.0385947897987159,.0385947897987159,.5885220234949342,.0170215077221465,.0170215077221465
5503210,De Pere School District,2018,55,WI,0,race,wag,1,5.5,3369,12,280.75,0,-.130137589116807,.1039717784867434,.1039717784867434,-.1642482517515802,.0137436521509836,.0137436521509836
5503210,De Pere School District,2018,55,WI,0,race,whg,1,5.5,3449,10,344.9,0,.630029276732572,.0867666349811095,.0867666349811095,.5416295043132381,.0029151275214314,.0029151275214314
5503210,De Pere School District,2018,55,WI,0,race,wht,0,5.5,3291,12,274.25,0,.5794479404894719,.017508534532219,.0206567076446947,.588831923957976,.0153183395913512,.0187745479639408
5503240,De Soto Area School District,2018,55,WI,0,all,all,0,5.5,416,12,34.66666666666666,0,.1362342168999179,.0474413187350653,.0486911646253665,.12127360049369,.0310878204386466,.0329284786019623
5503240,De Soto Area School District,2018,55,WI,0,ecd,ecd,0,5.5,134,8,16.75,0,-.0448838462081942,.0893315546751404,.0900015413753013,-.0610480974382514,.0351585259307854,.0367961148633937
5503240,De Soto Area School District,2018,55,WI,0,gender,fem,0,5.5,204,12,17,0,.1953755255509182,.065830955634012,.0667372872458849,.1641404016872604,.0313456349134391,.0331719904669733
5503240,De Soto Area School District,2018,55,WI,0,gender,mal,0,5.5,146,8,18.25,0,.1097799406870862,.0881556052915906,.0888344614076047,.0719767832539517,.031297516942028,.0331265254765857
5503240,De Soto Area School District,2018,55,WI,0,gender,mfg,1,5.5,350,8,43.75,0,-.0855955848638321,.1100232950970565,.1100232950970565,-.0921636184333086,.0054016882187027,.0054016882187027
5503240,De Soto Area School District,2018,55,WI,0,ecd,nec,0,5.5,238,12,19.83333333333333,0,.3046482378179931,.0588239063094961,.0598364666634057,.3048570167615451,.0358580447182483,.0374650703246404
5503240,De Soto Area School District,2018,55,WI,0,ecd,neg,1,5.5,372,8,46.5,0,.3495320840261873,.1069597055632913,.1069597055632913,.3659051141997965,.0242696550735797,.0242696550735797
5503240,De Soto Area School District,2018,55,WI,0,race,wht,0,5.5,314,10,31.4,0,.1791515547043984,.0546640935990535,.0557522548266756,.1420453927185871,.0311220702229275,.0329608158026343
5503270,Deerfield Community School District,2018,55,WI,0,all,all,0,5.5,674,12,56.16666666666666,0,.201467596564004,.0400802083373989,.0415520623991372,.1905106230636395,.0286516919268606,.0306390530807674
5503270,Deerfield Community School District,2018,55,WI,0,ecd,ecd,0,5.5,138,12,11.5,0,-.1651258930746754,.079947972720935,.0806959052953733,-.2135284142213342,.0331598686278192,.034891388777585
5503270,Deerfield Community School District,2018,55,WI,0,gender,fem,0,5.5,346,12,28.83333333333333,0,.2580483673570823,.0546141291465913,.055703266436476,.2188481725620858,.0289292639761287,.0308987772834928
5503270,Deerfield Community School District,2018,55,WI,0,race,hsp,0,5.5,42,12,3.5,0,-.2317551156002942,.1341289828347897,.1345761302220709,-.2449033890992391,.0287737303576201,.0307532060459943
5503270,Deerfield Community School District,2018,55,WI,0,gender,mal,0,5.5,328,12,27.33333333333333,0,.1400621040894614,.0574309296898885,.0584676190236733,.1421960927700776,.0288773100576054,.030850140349396
5503270,Deerfield Community School District,2018,55,WI,0,gender,mfg,1,5.5,674,12,56.16666666666666,0,-.1179862632676209,.0792528534974323,.0792528534974323,-.0766520797920082,.0053816772311393,.0053816772311393
5503270,Deerfield Community School District,2018,55,WI,0,ecd,nec,0,5.5,536,12,44.66666666666666,0,.2983406411881485,.044170665498694,.0455104216619666,.3002245268896599,.0318884473455831,.0336853855184467
5503270,Deerfield Community School District,2018,55,WI,0,ecd,neg,1,5.5,674,12,56.16666666666666,0,.4634665342628238,.0913385243628606,.0913385243628606,.513752941110994,.0217855700173946,.0217855700173946
5503270,Deerfield Community School District,2018,55,WI,0,race,whg,1,5.5,618,12,51.5,0,.4960629649021125,.1407350442958803,.1407350442958803,.5128663238634792,.0030333354847989,.0030333354847989
5503270,Deerfield Community School District,2018,55,WI,0,race,wht,0,5.5,576,12,48,0,.2643078493018184,.0426118370487366,.0439990846032115,.26796293476424,.0286899366679985,.0306748201205503
5503510,Kettle Moraine School District,2018,55,WI,0,all,all,0,5.5,3293,12,274.4166666666667,0,.5381275851276984,.0193711180658338,.0222573808965241,.5492309959322831,.0173666259816147,.0204800347021104
5503510,Kettle Moraine School District,2018,55,WI,0,ecd,ecd,0,5.5,478,12,39.83333333333334,0,-.0846910995767989,.0480281823612177,.0492631412942259,-.0266789821146162,.0236520151370692,.0260240262730136
5503510,Kettle Moraine School District,2018,55,WI,0,gender,fem,0,5.5,1602,12,133.5,0,.6188224435054274,.0268560850132951,.0290068973089819,.6315204736856981,.0178014518098379,.0208500314137014
5503510,Kettle Moraine School District,2018,55,WI,0,race,hsp,0,5.5,168,12,14,0,.0761748655866514,.0806005876774512,.0813425197741192,.1508021549474603,.0175667950564051,.020650046294575
5503510,Kettle Moraine School District,2018,55,WI,0,gender,mal,0,5.5,1691,12,140.9166666666667,0,.4612000097110315,.0273408242239945,.0294562634850358,.471578220177839,.0177214278483151,.0207817498877595
5503510,Kettle Moraine School District,2018,55,WI,0,gender,mfg,1,5.5,3293,12,274.4166666666667,0,-.1576224337943959,.0383245348502588,.0383245348502588,-.1599422535078591,.0052670006218371,.0052670006218371
5503510,Kettle Moraine School District,2018,55,WI,0,ecd,nec,0,5.5,2815,12,234.5833333333333,0,.6429226445425344,.0204549003242929,.0232067605780997,.6515890268540834,.0188158032521673,.0217224900837501
5503510,Kettle Moraine School District,2018,55,WI,0,ecd,neg,1,5.5,3293,12,274.4166666666667,0,.7276137441193333,.0522025789420326,.0522025789420326,.6782680089686997,.0176139965963955,.0176139965963955
5503510,Kettle Moraine School District,2018,55,WI,0,race,whg,1,5.5,3111,12,259.25,0,.4953306556192565,.0831178377457579,.0831178377457579,.4310876929124554,.002916122284918,.002916122284918
5503510,Kettle Moraine School District,2018,55,WI,0,race,wht,0,5.5,2943,12,245.25,0,.5715055212059079,.0203007442617173,.0230709992595062,.5818898478599157,.0174100797412719,.0205168954769429
5503640,Delavan-Darien School District,2018,55,WI,0,all,all,0,5.5,1759,12,146.5833333333333,0,-.2666463751982218,.0252461514003606,.0275230621439987,-.2752665959686463,.0213144901731533,.023919440101219
5503640,Delavan-Darien School District,2018,55,WI,0,ecd,ecd,0,5.5,1310,12,109.1666666666667,0,-.3786121678668247,.0278774283132897,.0299549962212499,-.389077173452001,.0240325111874106,.0263703188715527
5503640,Delavan-Darien School District,2018,55,WI,0,gender,fem,0,5.5,815,12,67.91666666666667,0,-.1902081466343961,.0378039939349037,.0393610562190945,-.1528481125298142,.0216811033389922,.0242466980310807
5503640,Delavan-Darien School District,2018,55,WI,0,race,hsp,0,5.5,957,12,79.75,0,-.4639440135305598,.0349308099183113,.0366102754810952,-.4713052088562702,.0214731952979873,.0240609692182143
5503640,Delavan-Darien School District,2018,55,WI,0,gender,mal,0,5.5,944,12,78.66666666666667,0,-.3571077173111843,.0375707736256947,.03913711563319,-.3869215253065608,.0216106304073648,.0241837025704931
5503640,Delavan-Darien School District,2018,55,WI,0,gender,mfg,1,5.5,1759,12,146.5833333333333,0,-.1668995706767882,.0532982644019806,.0532982644019806,-.2340734127767466,.0053361602221898,.0053361602221898
5503640,Delavan-Darien School District,2018,55,WI,0,ecd,nec,0,5.5,449,12,37.41666666666666,0,.1098226288397364,.0522013897076063,.0533398151164575,.0859300193892139,.028030999928155,.0300594258159829
5503640,Delavan-Darien School District,2018,55,WI,0,ecd,neg,1,5.5,1759,12,146.5833333333333,0,.4884347967065611,.0591788483900117,.0591788483900117,.4750071928412149,.0213233104433234,.0213233104433234
5503640,Delavan-Darien School District,2018,55,WI,0,race,whg,1,5.5,1689,12,140.75,0,.3815044494427106,.0529642001870935,.0529642001870935,.4086477776010556,.0030248446064322,.0030248446064322
5503640,Delavan-Darien School District,2018,55,WI,0,race,wht,0,5.5,732,12,61,0,-.0824395640878491,.0398126238762194,.041294016626647,-.0626574312552146,.0213697578664443,.0239687019816429
5503660,Denmark School District,2018,55,WI,0,all,all,0,5.5,1394,12,116.1666666666667,0,.3340418600555826,.0268734066106359,.0290229352773467,.3400132154011312,.0223727160403093,.0248670574542841
5503660,Denmark School District,2018,55,WI,0,ecd,ecd,0,5.5,272,10,27.2,0,-.0123227727184658,.0585147936974324,.0595326118249952,.0139397763428271,.0276411872019345,.0296962515032915
5503660,Denmark School District,2018,55,WI,0,gender,fem,0,5.5,666,12,55.5,0,.3381523981538129,.0381412883225987,.0396851189258655,.3614763451064935,.0227229137745009,.025182591880459
5503660,Denmark School District,2018,55,WI,0,gender,mal,0,5.5,728,12,60.66666666666666,0,.3181908986747161,.0379412489773707,.0394929001621218,.328493905790406,.0226552526837227,.0251215564322293
5503660,Denmark School District,2018,55,WI,0,gender,mfg,1,5.5,1394,12,116.1666666666667,0,-.0199614994790968,.0537986640063713,.0537986640063713,-.0329824393160875,.0053398912466556,.0053398912466556
5503660,Denmark School District,2018,55,WI,0,ecd,nec,0,5.5,1066,12,88.83333333333333,0,.4313843416307862,.0300024377517295,.0319420891661596,.4378836427699603,.0253895151569764,.0276126710645799
5503660,Denmark School District,2018,55,WI,0,ecd,neg,1,5.5,1338,10,133.8,0,.443707114349252,.0657580972390433,.0657580972390433,.4239438664271332,.0201887558754397,.0201887558754397
5503660,Denmark School District,2018,55,WI,0,race,wht,0,5.5,1270,12,105.8333333333333,0,.4011070113698477,.0277060018345361,.0297955252833006,.3892084306900609,.0224111162098696,.0249016114576272
5503690,Dodgeville School District,2018,55,WI,0,all,all,0,5.5,964,12,80.33333333333333,0,.2223030263840625,.0345629350927989,.0362594438937157,.2031955815314629,.0263576141578086,.0285053669947654
5503690,Dodgeville School District,2018,55,WI,0,ecd,ecd,0,5.5,418,12,34.83333333333334,0,-.1123058913578169,.0522845138377554,.0534211678691408,-.1529726294758546,.0306613997452082,.0325261980217456
5503690,Dodgeville School District,2018,55,WI,0,gender,fem,0,5.5,435,12,36.25,0,.1963999868654256,.049906926322439,.0510964977684953,.2117248967647763,.0266595506441881,.0287847835490278
5503690,Dodgeville School District,2018,55,WI,0,gender,mal,0,5.5,529,12,44.08333333333334,0,.2463158775826005,.0471878445894158,.0484442304743026,.1903964713670045,.0266005014292744,.0287301026747762
5503690,Dodgeville School District,2018,55,WI,0,gender,mfg,1,5.5,964,12,80.33333333333333,0,.0499158907171748,.0686832874282253,.0686832874282253,-.0213284253977718,.0053731432751267,.0053731432751267
5503690,Dodgeville School District,2018,55,WI,0,ecd,nec,0,5.5,546,12,45.5,0,.4716562394775951,.0425954720746684,.043983235789518,.4535553276176955,.0311397093835662,.032977471460185
5503690,Dodgeville School District,2018,55,WI,0,ecd,neg,1,5.5,964,12,80.33333333333333,0,.583962130835412,.0674391920808241,.0674391920808241,.6065279570935501,.0228112973468104,.0228112973468104
5503690,Dodgeville School District,2018,55,WI,0,race,wht,0,5.5,855,12,71.25,0,.2521562285657936,.0359972501665486,.0376291483933076,.2365328224448977,.0263930793127355,.0285381632033791
5503750,Dover #1 School District,2018,55,WI,0,all,all,0,5.5,132,12,11,0,.226753585220367,.0725989110420082,.0734217452376196,.2343556907448758,.0362781629679561,.03786736367565
